,source_id,dt,costs,dt_dia,dt_mes
0,1,2017-06-01,75.2,2017-06-01,2017-06-01
1,1,2017-06-02,62.25,2017-06-02,2017-06-01
2,1,2017-06-03,36.53,2017-06-03,2017-06-01
3,1,2017-06-04,55.0,2017-06-04,2017-06-01
4,1,2017-06-05,57.08,2017-06-05,2017-06-01
5,1,2017-06-06,40.39,2017-06-06,2017-06-01
6,1,2017-06-07,40.59,2017-06-07,2017-06-01
7,1,2017-06-08,56.63,2017-06-08,2017-06-01
8,1,2017-06-09,40.16,2017-06-09,2017-06-01
9,1,2017-06-10,43.24,2017-06-10,2017-06-01
10,1,2017-06-11,21.68,2017-06-11,2017-06-01
11,1,2017-06-12,27.48,2017-06-12,2017-06-01
12,1,2017-06-13,44.66,2017-06-13,2017-06-01
13,1,2017-06-14,30.7,2017-06-14,2017-06-01
14,1,2017-06-15,39.71,2017-06-15,2017-06-01
15,1,2017-06-16,39.1,2017-06-16,2017-06-01
16,1,2017-06-17,21.41,2017-06-17,2017-06-01
17,1,2017-06-18,50.04,2017-06-18,2017-06-01
18,1,2017-06-19,25.08,2017-06-19,2017-06-01
19,1,2017-06-20,25.37,2017-06-20,2017-06-01
20,1,2017-06-21,22.6,2017-06-21,2017-06-01
21,1,2017-06-22,21.68,2017-06-22,2017-06-01
22,1,2017-06-23,28.6,2017-06-23,2017-06-01
23,1,2017-06-24,10.72,2017-06-24,2017-06-01
24,1,2017-06-25,22.03,2017-06-25,2017-06-01
25,1,2017-06-26,31.91,2017-06-26,2017-06-01
26,1,2017-06-27,47.73,2017-06-27,2017-06-01
27,1,2017-06-28,38.48,2017-06-28,2017-06-01
28,1,2017-06-29,32.58,2017-06-29,2017-06-01
29,1,2017-06-30,36.98,2017-06-30,2017-06-01
30,1,2017-07-01,5.8,2017-07-01,2017-07-01
31,1,2017-07-02,27.99,2017-07-02,2017-07-01
32,1,2017-07-03,21.56,2017-07-03,2017-07-01
33,1,2017-07-04,37.63,2017-07-04,2017-07-01
34,1,2017-07-05,22.11,2017-07-05,2017-07-01
35,1,2017-07-06,23.32,2017-07-06,2017-07-01
36,1,2017-07-07,47.25,2017-07-07,2017-07-01
37,1,2017-07-08,32.26,2017-07-08,2017-07-01
38,1,2017-07-09,54.94,2017-07-09,2017-07-01
39,1,2017-07-10,30.69,2017-07-10,2017-07-01
40,1,2017-07-11,24.08,2017-07-11,2017-07-01
41,1,2017-07-12,53.53,2017-07-12,2017-07-01
42,1,2017-07-13,34.52,2017-07-13,2017-07-01
43,1,2017-07-14,63.52,2017-07-14,2017-07-01
44,1,2017-07-15,52.47,2017-07-15,2017-07-01
45,1,2017-07-16,34.02,2017-07-16,2017-07-01
46,1,2017-07-17,90.87,2017-07-17,2017-07-01
47,1,2017-07-18,54.31,2017-07-18,2017-07-01
48,1,2017-07-19,46.85,2017-07-19,2017-07-01
49,1,2017-07-20,28.46,2017-07-20,2017-07-01
50,1,2017-07-21,36.25,2017-07-21,2017-07-01
51,1,2017-07-22,20.98,2017-07-22,2017-07-01
52,1,2017-07-23,28.1,2017-07-23,2017-07-01
53,1,2017-07-24,48.58,2017-07-24,2017-07-01
54,1,2017-07-25,13.31,2017-07-25,2017-07-01
55,1,2017-07-26,27.38,2017-07-26,2017-07-01
56,1,2017-07-27,9.92,2017-07-27,2017-07-01
57,1,2017-07-28,23.5,2017-07-28,2017-07-01
58,1,2017-07-29,12.6,2017-07-29,2017-07-01
59,1,2017-07-30,34.96,2017-07-30,2017-07-01
60,1,2017-07-31,31.12,2017-07-31,2017-07-01
61,1,2017-08-01,44.65,2017-08-01,2017-08-01
62,1,2017-08-02,25.47,2017-08-02,2017-08-01
63,1,2017-08-03,19.96,2017-08-03,2017-08-01
64,1,2017-08-04,23.08,2017-08-04,2017-08-01
65,1,2017-08-05,26.49,2017-08-05,2017-08-01
66,1,2017-08-06,13.21,2017-08-06,2017-08-01
67,1,2017-08-07,27.78,2017-08-07,2017-08-01
68,1,2017-08-08,33.71,2017-08-08,2017-08-01
69,1,2017-08-09,19.67,2017-08-09,2017-08-01
70,1,2017-08-10,32.73,2017-08-10,2017-08-01
71,1,2017-08-11,29.93,2017-08-11,2017-08-01
72,1,2017-08-12,16.04,2017-08-12,2017-08-01
73,1,2017-08-13,17.01,2017-08-13,2017-08-01
74,1,2017-08-14,45.75,2017-08-14,2017-08-01
75,1,2017-08-15,34.63,2017-08-15,2017-08-01
76,1,2017-08-16,22.07,2017-08-16,2017-08-01
77,1,2017-08-17,50.77,2017-08-17,2017-08-01
78,1,2017-08-18,31.57,2017-08-18,2017-08-01
79,1,2017-08-19,23.2,2017-08-19,2017-08-01
80,1,2017-08-20,37.04,2017-08-20,2017-08-01
81,1,2017-08-21,25.09,2017-08-21,2017-08-01
82,1,2017-08-22,32.48,2017-08-22,2017-08-01
83,1,2017-08-23,22.42,2017-08-23,2017-08-01
84,1,2017-08-24,33.88,2017-08-24,2017-08-01
85,1,2017-08-25,26.18,2017-08-25,2017-08-01
86,1,2017-08-26,30.38,2017-08-26,2017-08-01
87,1,2017-08-27,46.25,2017-08-27,2017-08-01
88,1,2017-08-28,50.07,2017-08-28,2017-08-01
89,1,2017-08-29,28.25,2017-08-29,2017-08-01
90,1,2017-08-30,43.79,2017-08-30,2017-08-01
